"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","126/3909","371/18986",0.339622641509434,1.64954604034232,6.43348129647257,9.86520942677033e-10,5.66263021096617e-07,4.89106698948297e-07,"AKT1/AP3B1/AP3D1/ARID2/ATAD5/AXL/B2M/BAD/BCL2/BLOC1S3/BRD2/BRD4/CCDC88B/CCL2/CCR2/CCR7/CD2/CD226/CD274/CD28/CD320/CD38/CD46/CD55/CD6/CD70/CD83/CD86/CLEC4D/CLEC7A/CR1/CTSC/CYLD/CYRIB/DDRGK1/DHPS/DOCK8/EFNB1/EGR3/FBXO38/FCGR3A/FCRL3/GATA3/GPR183/HAMP/HAVCR1/HES1/HLA-DOB/HLA-DPA1/HLA-DRA/HLA-DRB1/HLA-DRB4/HLX/ICOS/ICOSLG/IFNG/IGF2/IGFBP2/IL15/IL1B/IL2RA/IL2RG/IL7/IL7R/JAK2/KLRK1/KMT5C/LBP/LEF1/LGALS1/LRRK2/LYN/MALT1/MEF2C/MPL/MTOR/NCK1/NCKAP1L/NFATC2/NFKBIZ/PDCD1LG2/PELI1/PLPP6/PPP2R3C/PRKCQ/PRKDC/PTPN11/PTPRC/PYCARD/RARA/RASGRP1/RHOH/RIPK2/RUNX1/RUNX3/SART1/SHB/SHH/SIRPB1/SIRPG/SLAMF1/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOX12/SOX13/SPHK2/STAP1/SYK/TBX21/TCF3/TFRC/TGFB1/TGFBR2/TLR4/TLR6/TNFSF13/TNFSF13B/TNFSF4/TOX/TYK2/VNN1/XBP1/ZAP70/ZBTB7B",126
"GO:0050867","GO:0050867","positive regulation of cell activation","131/3909","391/18986",0.335038363171355,1.62728021570001,6.38164359824687,1.23902978550963e-09,6.41346942748441e-07,5.53960040408061e-07,"AKT1/AP3B1/AP3D1/ARID2/ATAD5/AXL/B2M/BAD/BCL2/BLOC1S3/BRD2/BRD4/CCDC88B/CCL2/CCR2/CCR7/CD2/CD226/CD274/CD28/CD320/CD38/CD46/CD55/CD6/CD70/CD83/CD86/CLEC4D/CLEC7A/CR1/CTSC/CYLD/CYRIB/DDR2/DDRGK1/DHPS/DOCK8/EFNB1/EGR3/FBXO38/FCGR3A/FCRL3/GATA3/GPR183/HAMP/HAVCR1/HES1/HLA-DOB/HLA-DPA1/HLA-DRA/HLA-DRB1/HLA-DRB4/HLX/ICOS/ICOSLG/IFNG/IGF2/IGFBP2/IL15/IL1B/IL2RA/IL2RG/IL7/IL7R/JAK2/KLRK1/KMT5C/LBP/LEF1/LGALS1/LILRA5/LRRK2/LYN/MALT1/MEF2C/MPL/MTOR/NCK1/NCKAP1L/NFATC2/NFKBIZ/PDCD1LG2/PELI1/PLEK/PLPP6/PPP2R3C/PRKCQ/PRKDC/PTPN11/PTPRC/PTPRJ/PYCARD/RARA/RASGRP1/RHOH/RIPK2/RPS6KA1/RUNX1/RUNX3/SART1/SHB/SHH/SIRPB1/SIRPG/SLAMF1/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOX12/SOX13/SPHK2/STAP1/SYK/TBX21/TCF3/TFRC/TGFB1/TGFBR2/TLR4/TLR6/TNFSF13/TNFSF13B/TNFSF4/TOX/TYK2/VNN1/XBP1/ZAP70/ZBTB7B",131
"GO:0042113","GO:0042113","B cell activation","102/3909","284/18986",0.359154929577465,1.74441429853102,6.43591824415893,1.32047992646971e-09,6.41346942748441e-07,5.53960040408061e-07,"ADAM17/AKAP17A/ATAD5/ATM/BAD/BANK1/BAX/BCL2/CASP3/CASP8/CCR6/CD180/CD19/CD28/CD320/CD38/CD70/CD79A/CD86/CR1/CR2/CTLA4/CXCR5/CYLD/DCLRE1C/DDRGK1/DLL1/DNAJB9/DOCK10/DOCK11/ERCC1/EZH2/FCRL1/FCRL3/FCRL5/FNIP1/FOSL2/GPR183/GPS2/HDAC5/HHEX/ICOSLG/ID2/IGHE/IGHM/IKZF3/IL2RG/IL7/IL7R/ITGA4/KMT5C/LAPTM5/LEF1/LFNG/LGALS1/LRRC8A/LYN/MALT1/MEF2C/MNDA/MZB1/NBN/NCKAP1L/NFATC2/NFKBIZ/PARP3/PAX5/PELI1/PIK3R2/PKN1/PLCL2/PPP2R3C/PRKCB/PRKDC/PTK2B/PTPN2/PTPRC/PTPRJ/RASGRP1/RC3H1/RNF168/SHB/SKAP2/SLC15A4/SLC39A7/SP3/ST3GAL1/SUPT6H/SYK/TBX21/TCF3/TFRC/TGFB1/TLR4/TNFSF13/TNFSF13B/TNFSF4/TPD52/TXLNA/XBP1/ZAP70/ZBTB7A",102
"GO:0002237","GO:0002237","response to molecule of bacterial origin","126/3909","375/18986",0.336,1.63195088257866,6.29353675043107,2.09436292452298e-09,9.44557678959863e-07,8.15856715184478e-07,"ADAM17/ADAMTS13/AKAP12/AKT1/ALAD/ALPL/ARID5A/AXL/B2M/BIN1/C4B/CACTIN/CARD16/CARD8/CARD9/CASP3/CASP8/CCL2/CCR7/CD180/CD274/CD55/CD6/CD86/CD96/CDK4/CNP/COL6A1/CSF2RB/CX3CL1/CXCL1/CXCL10/CXCL13/CXCL2/CXCL3/CXCL6/CXCL8/CXCL9/CYRIB/DAB2IP/DIO2/EDN1/FASLG/FOSL2/FZD5/GBP5/GFER/GFI1/GIT1/GJB2/GJB6/GPX1/GPX4/GSTP1/HDAC5/HSF1/IL10RA/IL1B/IRAK1/IRAK3/IRAK4/IRF3/JAK2/KLRK1/LBP/LDOC1/LY96/LYN/MALT1/MAP2K7/MAPK14/MAPK3/MAPK8/MAPKAPK2/MEF2C/MMP3/MMP9/NFKB1/NFKB2/NFKBIB/NFKBIL1/NFKBIZ/NR1D1/NR4A1/PABPN1/PAF1/PALM3/PCSK1/PDCD1LG2/PDE4B/PELI1/PF4/PLAA/PLSCR3/PPBP/PRDX2/PRKCE/PTGFR/PTGIR/PTGS2/PYCARD/RARA/RELA/RIPK2/SBNO2/SELE/SELENOS/SELENOW/SERPINE1/SIGIRR/SLC7A5/SMAD6/SOD2/SSC5D/STAP1/TLR1/TLR10/TLR2/TLR4/TLR6/TNFSF4/TRIB1/TRIM41/UPF1/WDR83/XBP1",126
"GO:0010720","GO:0010720","positive regulation of cell development","148/3909","460/18986",0.321739130434783,1.56268588652719,6.22063581828911,2.52872790354845e-09,1.06442586553366e-06,9.19392229353299e-07,"ACAN/ANAPC2/AP3B1/AP3D1/ARID2/ASPM/AURKA/AXL/BAD/BAIAP2/BCL11A/BCL2/BIN1/BMP2/BMP4/BRD2/BRD4/CASP8/CCR1/CD46/CD83/CD86/CDH4/CLEC7A/CR1/CSF1/CX3CL1/CXCR4/CYLD/DAG1/DBN1/DDRGK1/DICER1/DISC1/EGR3/ELL3/EVI2B/FES/FOXG1/FXR2/GATA3/GDI1/GFAP/GJC2/GPER1/HAPLN3/HES1/HIF1A/HLA-DRA/HLA-DRB1/HLX/HOXA11/HSF1/ID2/IFNG/IL15/IL1B/IL2RA/IL2RG/IL7/IL7R/ISLR2/L1CAM/LEF1/LIMK1/LMOD3/LYN/MALT1/MAN2A1/MAP2K2/MAP6/MEGF8/MME/MPL/MTOR/NCKAP1L/NEDD9/NFKBIZ/NKX6-2/NTN1/NUMBL/OBSL1/PF4/PLXNA3/PLXNB2/PLXNB3/PLXNC1/PPP2R3C/PRKDC/PTPRC/PTPRD/RARA/RASGRP1/RB1/RELA/RFX3/RHOH/RIPK2/RND2/RNF112/RUNX1/RUNX3/S1PR2/SART1/SEMA4D/SERPINE2/SHANK3/SHB/SHH/SHOX2/SLC7A5/SMAD7/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOX11/SOX12/SOX13/SOX8/SRF/SRRT/STK11/STK25/SYK/TBC1D24/TENM4/TGFB1/TGFBR2/TGM2/TLR2/TM4SF19/TMEM64/TNFSF4/TOX/TP73/TRIB1/TWF2/UFL1/VCAN/VEGFA/VNN1/WDR62/XBP1/XRCC5/ZAP70/ZBTB46/ZBTB7B",148
"GO:0045619","GO:0045619","regulation of lymphocyte differentiation","84/3909","223/18986",0.376681614349776,1.82954134818236,6.34483012556875,2.85615173820782e-09,1.12710887969026e-06,9.73534352345706e-07,"AP3B1/AP3D1/ARID2/AXL/BAD/BMP4/BRD2/BRD4/CAMK4/CCR2/CD2/CD28/CD46/CD69/CD83/CD86/CR1/CTLA4/CYLD/DDRGK1/EGR3/ERBB2/FBXO7/FCRL3/GATA3/HLA-DRA/HLA-DRB1/HLX/ID2/IFNG/IKZF3/IL15/IL2RA/IL2RG/IL7/IL7R/IRF1/IRF4/JUNB/KAT2A/LEF1/LGALS1/MALT1/NCKAP1L/NFKBIZ/PGLYRP3/PPP2R3C/PRDM1/PRDX2/PRKDC/PTPN2/PTPRC/RARA/RASGRP1/RC3H1/RHOH/RIPK2/RNF41/RUNX1/RUNX3/SART1/SHB/SHH/SLC4A2/SMAD7/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOS2/SOX12/SOX13/SYK/TBX21/TGFB1/TGFBR2/TMEM131L/TNFSF4/TOX/VNN1/XBP1/ZAP70/ZBTB7B/ZEB1",84
"GO:0071219","GO:0071219","cellular response to molecule of bacterial origin","89/3909","242/18986",0.367768595041322,1.78625084304286,6.26784629545154,3.88496677904219e-09,1.44292236722779e-06,1.24631658713422e-06,"ADAMTS13/AKT1/ARID5A/AXL/B2M/CACTIN/CARD16/CARD8/CCL2/CD180/CD274/CD55/CD6/CD86/CDK4/CX3CL1/CXCL1/CXCL10/CXCL13/CXCL2/CXCL3/CXCL6/CXCL8/CXCL9/CYRIB/DAB2IP/FZD5/GBP5/GFER/GFI1/GIT1/GSTP1/HDAC5/HSF1/IL1B/IRAK1/IRAK3/IRAK4/IRF3/JAK2/KLRK1/LBP/LDOC1/LY96/LYN/MALT1/MAP2K7/MAPK14/MAPK3/MAPK8/MEF2C/MMP3/MMP9/NFKB1/NFKBIB/NFKBIL1/NFKBIZ/NR1D1/PABPN1/PAF1/PDCD1LG2/PDE4B/PF4/PLAA/PLSCR3/PPBP/PRDX2/PRKCE/PTGS2/PYCARD/RARA/RELA/RIPK2/SBNO2/SELENOS/SERPINE1/SIGIRR/SLC7A5/STAP1/TLR1/TLR10/TLR2/TLR4/TLR6/TNFSF4/TRIB1/TRIM41/UPF1/XBP1",89
"GO:0071216","GO:0071216","cellular response to biotic stimulus","96/3909","269/18986",0.356877323420074,1.73335197299911,6.16809640714614,5.80909739128524e-09,2.00146231666233e-06,1.72875252365296e-06,"ADAMTS13/AKT1/ARID5A/AXL/B2M/CACTIN/CARD16/CARD8/CCL2/CD180/CD274/CD55/CD6/CD86/CDK4/CLEC7A/CX3CL1/CXCL1/CXCL10/CXCL13/CXCL2/CXCL3/CXCL6/CXCL8/CXCL9/CYRIB/DAB2IP/DDIT3/EIF2AK3/FBH1/FZD5/GBP5/GFER/GFI1/GIT1/GSTP1/HDAC5/HSF1/IL1B/IRAK1/IRAK3/IRAK4/IRF3/JAK2/KLRK1/LBP/LDOC1/LY96/LYN/MALT1/MAP2K7/MAPK14/MAPK3/MAPK8/MEF2C/MMP3/MMP9/MUS81/NFKB1/NFKBIB/NFKBIL1/NFKBIZ/NR1D1/PABPN1/PAF1/PDCD1LG2/PDE4B/PF4/PLAA/PLSCR3/PPBP/PRDX2/PRKCE/PTGS2/PYCARD/RARA/RELA/RIPK2/SBNO2/SELENOS/SERPINE1/SIGIRR/SLC7A5/SLX4/STAP1/SYK/TLR1/TLR10/TLR2/TLR4/TLR6/TNFSF4/TRIB1/TRIM41/UPF1/XBP1",96
"GO:0045580","GO:0045580","regulation of T cell differentiation","74/3909","191/18986",0.387434554973822,1.88176834503274,6.23635301648341,6.02277225476469e-09,2.00146231666233e-06,1.72875252365296e-06,"AP3B1/AP3D1/ARID2/BAD/BMP4/BRD2/BRD4/CAMK4/CCR2/CD2/CD28/CD46/CD69/CD83/CD86/CR1/CTLA4/CYLD/EGR3/ERBB2/GATA3/HLA-DRA/HLA-DRB1/HLX/IFNG/IL15/IL2RA/IL2RG/IL7/IL7R/IRF1/IRF4/JUNB/KAT2A/LEF1/LGALS1/MALT1/NCKAP1L/NFKBIZ/PRDM1/PRDX2/PTPN2/PTPRC/RARA/RASGRP1/RC3H1/RHOH/RIPK2/RUNX1/RUNX3/SART1/SHB/SHH/SLC4A2/SMAD7/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOS2/SOX12/SOX13/SYK/TBX21/TGFB1/TGFBR2/TMEM131L/TNFSF4/TOX/VNN1/XBP1/ZAP70/ZBTB7B/ZEB1",74
"GO:0051251","GO:0051251","positive regulation of lymphocyte activation","114/3909","336/18986",0.339285714285714,1.64790958593721,6.10134095095564,6.52472775220860e-09,2.05985655137225e-06,1.77919023601014e-06,"AKT1/AP3B1/AP3D1/ARID2/ATAD5/AXL/B2M/BAD/BCL2/BLOC1S3/BRD2/BRD4/CCDC88B/CCL2/CCR2/CCR7/CD274/CD28/CD320/CD38/CD46/CD55/CD6/CD70/CD83/CD86/CLEC7A/CR1/CYLD/CYRIB/DDRGK1/DHPS/DOCK8/EFNB1/EGR3/FBXO38/FCGR3A/FCRL3/GATA3/GPR183/HES1/HLA-DOB/HLA-DPA1/HLA-DRA/HLA-DRB1/HLA-DRB4/HLX/ICOS/ICOSLG/IFNG/IGF2/IGFBP2/IL15/IL1B/IL2RA/IL2RG/IL7/IL7R/JAK2/KLRK1/KMT5C/LEF1/LGALS1/LYN/MALT1/MEF2C/MPL/MTOR/NCK1/NCKAP1L/NFATC2/NFKBIZ/PDCD1LG2/PELI1/PPP2R3C/PRKCQ/PRKDC/PTPN11/PTPRC/PYCARD/RARA/RASGRP1/RHOH/RIPK2/RUNX1/RUNX3/SART1/SHB/SHH/SIRPB1/SIRPG/SLAMF1/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOX12/SOX13/SYK/TBX21/TCF3/TFRC/TGFB1/TGFBR2/TLR4/TNFSF13/TNFSF13B/TNFSF4/TOX/TYK2/VNN1/XBP1/ZAP70/ZBTB7B",114
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide","84/3909","228/18986",0.368421052631579,1.78941982738889,6.10608515143872,9.56965541179793e-09,2.87727639381391e-06,2.48523231521429e-06,"ADAMTS13/AKT1/ARID5A/AXL/B2M/CACTIN/CARD16/CARD8/CCL2/CD180/CD274/CD55/CD6/CD86/CDK4/CX3CL1/CXCL1/CXCL10/CXCL13/CXCL2/CXCL3/CXCL6/CXCL8/CXCL9/DAB2IP/GBP5/GFER/GFI1/GIT1/GSTP1/HDAC5/HSF1/IL1B/IRAK1/IRAK3/IRAK4/IRF3/JAK2/KLRK1/LBP/LDOC1/LY96/LYN/MALT1/MAP2K7/MAPK14/MAPK3/MAPK8/MEF2C/MMP3/MMP9/NFKB1/NFKBIB/NFKBIL1/NFKBIZ/NR1D1/PABPN1/PAF1/PDCD1LG2/PDE4B/PF4/PLAA/PLSCR3/PPBP/PRDX2/PRKCE/PTGS2/PYCARD/RARA/RELA/RIPK2/SBNO2/SELENOS/SERPINE1/SIGIRR/SLC7A5/STAP1/TLR2/TLR4/TNFSF4/TRIB1/TRIM41/UPF1/XBP1",84
"GO:0050853","GO:0050853","B cell receptor signaling pathway","39/3909","79/18986",0.493670886075949,2.39775785188999,6.33891375074129,1.12101939731937e-08,3.10069517277357e-06,2.6782091076038e-06,"BANK1/BAX/BCAR1/BCL2/CD19/CD38/CD79A/CTLA4/FCMR/FCRL3/GCSAM/GPS2/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGKC/IGLC1/IGLC3/IGLC7/ITK/KLHL6/LPXN/LYN/MEF2C/MNDA/NCKAP1L/NFATC2/NFKB1/NFKBIZ/PLCL2/PRKCB/PTPRC/RFTN1/STAP1/SYK",39
"GO:0032496","GO:0032496","response to lipopolysaccharide","118/3909","354/18986",0.333333333333333,1.61899889144709,5.98607884821926,1.12948984754185e-08,3.10069517277357e-06,2.6782091076038e-06,"ADAM17/ADAMTS13/AKAP12/AKT1/ALAD/ALPL/ARID5A/AXL/B2M/BIN1/CACTIN/CARD16/CARD8/CASP3/CASP8/CCL2/CCR7/CD180/CD274/CD55/CD6/CD86/CD96/CDK4/CNP/COL6A1/CSF2RB/CX3CL1/CXCL1/CXCL10/CXCL13/CXCL2/CXCL3/CXCL6/CXCL8/CXCL9/DAB2IP/DIO2/EDN1/FASLG/FOSL2/GBP5/GFER/GFI1/GIT1/GJB2/GJB6/GPX1/GPX4/GSTP1/HDAC5/HSF1/IL10RA/IL1B/IRAK1/IRAK3/IRAK4/IRF3/JAK2/KLRK1/LBP/LDOC1/LY96/LYN/MALT1/MAP2K7/MAPK14/MAPK3/MAPK8/MAPKAPK2/MEF2C/MMP3/MMP9/NFKB1/NFKB2/NFKBIB/NFKBIL1/NFKBIZ/NR1D1/NR4A1/PABPN1/PAF1/PALM3/PCSK1/PDCD1LG2/PDE4B/PELI1/PF4/PLAA/PLSCR3/PPBP/PRDX2/PRKCE/PTGFR/PTGIR/PTGS2/PYCARD/RARA/RELA/RIPK2/SBNO2/SELE/SELENOS/SELENOW/SERPINE1/SIGIRR/SLC7A5/SMAD6/SOD2/STAP1/TLR2/TLR4/TNFSF4/TRIB1/TRIM41/UPF1/WDR83/XBP1",118
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion","99/3909","284/18986",0.348591549295775,1.69310799563305,5.99234378365622,1.35675193285975e-08,3.56938821003186e-06,3.08304024743261e-06,"AKT1/ALOX5/AP3B1/AP3D1/ARID2/B2M/BAD/BRD2/BRD4/CCDC88B/CCL2/CCR2/CCR7/CD274/CD28/CD46/CD55/CD6/CD70/CD83/CD86/CHST2/CR1/CYLD/CYRIB/DHPS/DOCK8/EFNB1/EGR3/FBXO38/GATA3/GCNT1/HES1/HLA-DOB/HLA-DPA1/HLA-DRA/HLA-DRB1/HLA-DRB4/HLX/ICOS/ICOSLG/IFNG/IGF2/IGFBP2/IL15/IL1B/IL2RA/IL2RG/IL7/IL7R/IRAK1/ITGA4/JAK2/KLRK1/LEF1/LGALS1/LYN/MALT1/MTOR/NCK1/NCKAP1L/NFKBIZ/PDCD1LG2/PRKCQ/PTPN11/PTPRC/PYCARD/RARA/RASGRP1/RELA/RHOH/RIPK2/RUNX1/RUNX3/SART1/SELE/SHB/SHH/SIRPB1/SIRPG/SKAP1/SLAMF1/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOX12/SOX13/SYK/TFRC/TGFB1/TGFBR2/TNFSF13B/TNFSF4/TYK2/VNN1/XBP1/ZAP70/ZBTB7B",99
"GO:0070661","GO:0070661","leukocyte proliferation","114/3909","341/18986",0.334310850439883,1.62374668878271,5.9181356758594,1.65931559276771e-08,4.19076746109413e-06,3.61975329942295e-06,"ALKBH5/ARG1/ARMC5/ATAD5/ATM/BAP1/BAX/BCL2/BMP4/BTN3A1/CASP3/CCDC88B/CCR2/CD151/CD180/CD19/CD274/CD28/CD320/CD38/CD46/CD55/CD6/CD70/CD79A/CD86/CLU/CR1/CR2/CSF1/CSF2RB/CTLA4/CX3CL1/DHPS/DLG5/DOCK2/DOCK8/EFNB1/ERBB2/F2RL1/FCGR3A/FCRL3/FOSL2/GLMN/GPR183/GSTP1/HES1/HHEX/HLA-DPA1/HLA-DRB1/ICOSLG/IGF2/IGFBP2/IGHE/IKZF3/IL15/IL1B/IL2RA/IL7/IL7R/IRF1/JAK2/JUNB/LEF1/LST1/LYN/MAD1L1/MALT1/MAPK3/MARCHF7/MEF2C/MNDA/MPL/MZB1/NCK1/NCKAP1L/NFATC2/NFKBIZ/NPR3/PDCD1LG2/PELI1/PIK3CG/PKN1/PLCL2/PRDX2/PRKCQ/PTPRC/PURA/PYCARD/RASGRP1/RASSF5/RC3H1/RIPK2/RIPOR2/SCRIB/SHB/SHH/SLAMF1/SLC4A2/SOS2/SOX11/ST6GAL1/SYK/TCF3/TFRC/TGFB1/TGFBR2/TLR4/TMEM131L/TNFSF13B/TNFSF4/TYK2/ZAP70/ZBTB7B",114
"GO:0046651","GO:0046651","lymphocyte proliferation","102/3909","297/18986",0.343434343434343,1.66805946391518,5.90855090985824,1.98648397168236e-08,4.82409992200093e-06,4.16679087339527e-06,"ALKBH5/ARG1/ARMC5/ATAD5/ATM/BAX/BCL2/BMP4/BTN3A1/CASP3/CCDC88B/CCR2/CD151/CD180/CD19/CD274/CD28/CD320/CD38/CD46/CD55/CD6/CD70/CD79A/CD86/CR1/CR2/CTLA4/DHPS/DLG5/DOCK2/DOCK8/EFNB1/ERBB2/FCGR3A/FCRL3/FOSL2/GLMN/GPR183/HES1/HLA-DPA1/HLA-DRB1/ICOSLG/IGF2/IGFBP2/IGHE/IKZF3/IL15/IL1B/IL2RA/IL7/IL7R/IRF1/JAK2/LEF1/LST1/LYN/MAD1L1/MALT1/MARCHF7/MEF2C/MNDA/MPL/MZB1/NCK1/NCKAP1L/NFATC2/NFKBIZ/PDCD1LG2/PELI1/PIK3CG/PKN1/PLCL2/PRDX2/PRKCQ/PTPRC/PURA/PYCARD/RASGRP1/RASSF5/RC3H1/RIPK2/RIPOR2/SCRIB/SHB/SHH/SLAMF1/SLC4A2/SOS2/SOX11/SYK/TCF3/TFRC/TGFB1/TGFBR2/TLR4/TMEM131L/TNFSF13B/TNFSF4/TYK2/ZAP70/ZBTB7B",102
"GO:0032943","GO:0032943","mononuclear cell proliferation","104/3909","305/18986",0.340983606557377,1.65615624305407,5.88217299940827,2.2125713147496e-08,5.17413899308481e-06,4.46913527552346e-06,"ALKBH5/ARG1/ARMC5/ATAD5/ATM/BAX/BCL2/BMP4/BTN3A1/CASP3/CCDC88B/CCR2/CD151/CD180/CD19/CD274/CD28/CD320/CD38/CD46/CD55/CD6/CD70/CD79A/CD86/CR1/CR2/CSF1/CTLA4/DHPS/DLG5/DOCK2/DOCK8/EFNB1/ERBB2/FCGR3A/FCRL3/FOSL2/GLMN/GPR183/HES1/HLA-DPA1/HLA-DRB1/ICOSLG/IGF2/IGFBP2/IGHE/IKZF3/IL15/IL1B/IL2RA/IL7/IL7R/IRF1/JAK2/LEF1/LST1/LYN/MAD1L1/MALT1/MARCHF7/MEF2C/MNDA/MPL/MZB1/NCK1/NCKAP1L/NFATC2/NFKBIZ/PDCD1LG2/PELI1/PIK3CG/PKN1/PLCL2/PRDX2/PRKCQ/PTPRC/PURA/PYCARD/RASGRP1/RASSF5/RC3H1/RIPK2/RIPOR2/SCRIB/SHB/SHH/SLAMF1/SLC4A2/SOS2/SOX11/ST6GAL1/SYK/TCF3/TFRC/TGFB1/TGFBR2/TLR4/TMEM131L/TNFSF13B/TNFSF4/TYK2/ZAP70/ZBTB7B",104
"GO:0050863","GO:0050863","regulation of T cell activation","127/3909","393/18986",0.323155216284987,1.56956381079221,5.80957812329574,2.53856466384591e-08,5.72446331697254e-06,4.94447500879161e-06,"AKT1/AP3B1/AP3D1/ARG1/ARID2/B2M/BAD/BMP4/BRD2/BRD4/CAMK4/CASP3/CCDC88B/CCL2/CCR2/CCR7/CD2/CD274/CD28/CD46/CD55/CD6/CD69/CD70/CD83/CD86/CR1/CTLA4/CYLD/CYRIB/DHPS/DLG5/DOCK8/EFNB1/EGR3/ERBB2/FBXO38/GATA3/GLMN/HES1/HLA-DOB/HLA-DPA1/HLA-DRA/HLA-DRB1/HLA-DRB4/HLX/ICOS/ICOSLG/IFNG/IGF2/IGFBP2/IL15/IL1B/IL2RA/IL2RG/IL7/IL7R/IRF1/IRF4/JAK2/JUNB/KAT2A/KLRK1/LAPTM5/LEF1/LGALS1/LYN/MAD1L1/MALT1/MARCHF7/MTOR/NCK1/NCKAP1L/NFKBIZ/PAG1/PDCD1LG2/PELI1/PRDM1/PRDX2/PRKCQ/PTPN11/PTPN2/PTPRC/PYCARD/RARA/RASGRP1/RC3H1/RHOH/RIPK2/RIPOR2/RUNX1/RUNX3/SART1/SCRIB/SHB/SHH/SIRPB1/SIRPG/SIT1/SLAMF1/SLC4A2/SMAD7/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOS2/SOX12/SOX13/SYK/TARM1/TBX21/TFRC/TGFB1/TGFBR2/TIGIT/TMEM131L/TNFSF13B/TNFSF4/TOX/TYK2/UFL1/VNN1/XBP1/ZAP70/ZBTB7B/ZEB1",127
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","112/3909","336/18986",0.333333333333333,1.61899889144709,5.82908999489358,2.64322833698519e-08,5.75494611024982e-06,4.97080436076961e-06,"ADAM19/AKT1/ALOX5/AP3B1/AP3D1/ARID2/B2M/BAD/BRD2/BRD4/CCDC88B/CCL2/CCR2/CCR7/CD274/CD28/CD46/CD55/CD6/CD70/CD83/CD86/CHST2/CR1/CX3CL1/CXCL13/CYLD/CYRIB/DHPS/DOCK8/EFNB1/EGR3/EMILIN1/FBXO38/FLOT1/FOXA1/FUT3/GATA3/GCNT1/HES1/HLA-DOB/HLA-DPA1/HLA-DRA/HLA-DRB1/HLA-DRB4/HLX/ICOS/ICOSLG/IFNG/IGF2/IGFBP2/IL15/IL1B/IL2RA/IL2RG/IL7/IL7R/IRAK1/ITGA4/JAK2/KLRK1/LEF1/LGALS1/LYN/MALT1/MMRN1/MTOR/NCK1/NCKAP1L/NFKBIZ/PDCD1LG2/PDPN/PIEZO1/PKP3/PRKCQ/PTPN11/PTPRC/PYCARD/RARA/RASGRP1/RELA/RHOH/RIPK2/RNASE10/RUNX1/RUNX3/SART1/SELE/SHB/SHH/SIRPB1/SIRPG/SKAP1/SLAMF1/SMAD7/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOX12/SOX13/SYK/TFRC/TGFB1/TGFBR2/TNFSF13B/TNFSF4/TYK2/VNN1/XBP1/ZAP70/ZBTB7B",112
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","136/3909","430/18986",0.316279069767442,1.53616639002421,5.72627631844546,3.58806250442609e-08,7.55167555098212e-06,6.5227199422567e-06,"AKT1/ALOX5/AP3B1/AP3D1/ARG1/ARID2/B2M/BAD/BMP4/BRD2/BRD4/CASP3/CCDC88B/CCL2/CCR2/CCR7/CD274/CD28/CD46/CD55/CD6/CD69/CD70/CD83/CD86/CERCAM/CHST2/CR1/CTLA4/CYLD/CYRIB/DHPS/DLG5/DOCK8/EFNB1/EGR3/ERBB2/EXT1/FBXO38/FERMT3/GATA3/GCNT1/GLMN/HES1/HLA-DOB/HLA-DPA1/HLA-DRA/HLA-DRB1/HLA-DRB4/HLX/ICOS/ICOSLG/IFNG/IGF2/IGFBP2/IL15/IL1B/IL2RA/IL2RG/IL7/IL7R/IRAK1/IRF1/ITGA4/ITGAL/JAK2/KLRK1/LAPTM5/LEF1/LGALS1/LYN/MAD1L1/MALT1/MARCHF7/MTOR/NCK1/NCKAP1L/NFKBIZ/PAG1/PDCD1LG2/PECAM1/PELI1/PRDX2/PRKCQ/PTPN11/PTPN2/PTPRC/PYCARD/RARA/RASGRP1/RC3H1/RELA/RHOH/RIPK2/RIPOR2/RUNX1/RUNX3/S100A9/SART1/SCRIB/SELE/SELL/SEMA4D/SHB/SHH/SIRPB1/SIRPG/SKAP1/SLAMF1/SLC39A8/SLC4A2/SMAD7/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOX12/SOX13/STK10/SYK/TARM1/TBX21/TFRC/TGFB1/TGFBR2/TIGIT/TMEM131L/TNFSF13B/TNFSF4/TYK2/UFL1/VNN1/XBP1/ZAP70/ZBTB7B/ZDHHC21",136
